membership:pair_set_id	pair
ALL	d3263082-946d-4420-8a63-8d67eeee09c5_d123ad55-3559-4185-87c1-a16235950bfc
ALL	662cc11c-da31-4e31-8e77-46011b38ea96_fe4e376b-7c87-4ed1-8994-7c8a8daf402b
ALL	582b2af4-08e5-44d8-996d-d00db1e98413_4ad2897e-1c68-4a74-8e5f-a9368e601748
ALL	32915a08-0985-4232-bb08-a4b0850cb11c_6588e87a-32d0-4945-88b5-c89618e7210b
ALL	75e9ad4a-ae3e-4331-9c35-0ce639ed3009_4b7b3794-8afb-46da-8ed9-439f9860493d
ALL	8518e829-4248-4f12-b32f-f4019f7ba4e2_466741c2-8899-49d7-b7c0-d7d7e572afea
ALL	7fb4bff6-4385-4503-9016-f9b620af3f8c_bbda44e7-c69d-4d7e-949f-9927b5aaa632
ALL	163000c7-0633-4d89-a84f-f487517248db_32a8bc28-a2f9-4420-9992-9e1151b27c36
ALL	0692591c-b717-4d4e-b3ce-ea1620eb127e_0473f705-72de-4b71-b5c0-0bf769b6e2da
ALL	550f24b0-a925-41d6-be27-96c827693611_1f61ed4f-cc57-44cf-a014-d098686a7388
ALL	d1224e18-6c94-45f7-afb0-d4321150cc8f_b0f9c5a1-5ff2-41c0-badf-ccc9d1affc0f
ALL	f2deda2c-63c8-4b4f-a725-381f00298cd0_18abe541-9d31-4f83-9422-d72cb3237c56
ALL	4a299407-b9dc-4500-b6b1-27a474ab4c4a_86759a7a-049d-4057-9cde-238daa2e94ff
ALL	8d65b4ee-183b-4767-9091-dec23a17af93_15811cd8-9b15-4065-b55d-17915df7b855
ALL	ef5821f3-677a-4bd3-9d99-d9cdd533cdb5_d82c9020-b1ee-4be1-9249-0d251320004d
ALL	2556d93d-9252-4248-a044-91deaa7f02df_372d07ef-a107-4928-8fb7-fb03daad015f
ALL	bf42e8ce-cd3e-46c8-92f9-ea5cda443a6f_75b94f6e-1011-4106-9d9e-3b6e5573c3e8
ALL	e11dab7d-dc9c-416c-8200-ebdf8a64e3ea_388bf50e-8e6e-4833-b320-ea162edda01e
ALL	5d7a6563-6e74-48cb-a6a9-6d860759ddac_3df8b055-35f4-49ca-b1e8-8ccdb8a607e7
ALL	049340e0-5ac8-4e7f-9c92-971b1200abae_85bbbbcf-5ec5-4a27-87de-7745f286e077
ALL	e7008896-7348-4b14-a443-d9da1352c80e_f307d7b2-82c4-4336-a048-74ade3187b83
ALL	31532d08-cb6e-40fa-9dfe-d2c6d037dcb1_6f8ec63c-a0f2-4b7f-bcd9-46725ca5b111
ALL	abff5667-7ef4-46c1-ad34-ceabc27e7992_bab345a6-97f2-4963-a696-2a4393c9c7bf
ALL	d490330a-de38-478f-9504-a69260ab3967_989e0ff9-50d5-4f3f-a19c-8eb3e57b42cf
ALL	ca3c9a05-88b7-4d99-abd5-fc557e3929a0_7f7f64f2-6370-461e-ba12-9ec78ce662d6
ALL	a03cd506-47aa-4333-a9a4-fa1a6815ac75_c9497e48-e2ee-41c5-8215-d0673359eaef
ALL	6f1fc322-359b-49fd-ac0d-cc7626f52604_0306c4a7-a39a-4e27-8d82-944546465eba
ALL	7fa91f3b-34db-41ba-8447-d745eebac2db_71e20390-b733-4a3b-9599-b27ebd95cffb
ALL	c6d8d136-3bd3-49d2-8305-3377240a1ce7_8bb057c7-3663-44a8-a375-3e4edc7587b8
ALL	439d2ec5-1059-4556-b886-60b42b6db1d7_7a645f9b-f59d-4de6-a775-33e6d4e1cd00
ALL	19193b8f-1e1b-448c-b934-93f25e60d45b_12ed991b-96f2-4a0e-aa8b-8345573a8e57
ALL	0c8df249-80de-4675-93e5-d06ad8ea3001_c1d0e9fb-eab0-40cd-9dd8-190bd6b5e180
ALL	6a6b6b80-65c6-413d-94ed-07f13e48d62c_ea0a7606-15d0-4355-9263-0c8a1d5f5bfe
ALL	601e0a1b-309d-41c2-a7ba-a2282db846fa_2f3678e7-cadf-49f9-8397-16518994d78b
ALL	3f6f1066-37f9-464d-872a-f1390eb36f6e_49f03382-6531-40e4-9d98-b9c839986cb0
ALL	a92b6d90-f7b4-4b17-b56b-b2fb7103b55f_ab10e3c5-364f-4389-8375-540d274d1129
ALL	d6023f30-0d07-4839-98d1-0b22b366cc51_c8af8732-0e02-4100-a2f6-8c7823fd01b9
ALL	ce3c01d9-e8c7-4bd6-84f9-741f38b07267_8c2f1916-727b-4c8a-a940-023ba81c0613
ALL	95c533d3-798c-4aca-8f38-dc4825f254b5_88646aae-7004-410a-b7f5-661da812de63
ALL	fc1f0ad4-8412-4143-8ebf-fa6592f396e9_156c15d8-5e27-49c1-ab20-77b60b4fc665
ALL	e943ba18-21be-49ec-8d2a-cfad16e37fa0_1266a1eb-e941-4adc-b50d-032569ac38eb
ALL	7877c9a9-2002-4d6d-9ca4-f200c1ac00e7_6c4e3a00-9ffc-4306-a7df-c5362311e2e8
ALL	a172db3e-b6d5-4153-adec-9e772d6c1971_1d7fa737-6771-469e-b07e-272834207819
ALL	07c938ad-70f7-418f-b6c9-ec6e4b1dae66_d7da0785-ab1a-4813-9748-cacd97152a8d
ALL	3447bdbf-5177-451e-bb93-736153ea76a9_8627c986-4b07-4ee9-b8c7-d74082748f39
ALL	9bc1887e-b3ed-4732-b8bc-ef4f4ea59258_c82e7c92-cd51-44c6-a4a9-acc1c2982059
ALL	c3927b5c-d641-45e5-87ea-9cc18c7ec85e_784350c4-5f24-4d9b-8d1d-8cc64915ee16
ALL	60cfca96-802d-4a36-8c14-fc0bed308bc3_c7d62698-63ef-488d-8c66-25ba14271a1a
ALL	ca0d78dc-c860-4835-ad07-052f176804a4_b5c908e6-b8fe-4548-8dbc-5e7ab7405b98
ALL	c32e8a89-bc6b-4e8a-8719-4509412b5729_9e599e7e-c82d-4391-94bd-11b1b363a25d
ALL	684196da-0213-497f-b239-7b5e76b01d0e_a8b30aa7-6145-4f1a-b1b7-2f4ef62a1e54
ALL	ed47a919-be85-4d06-aee3-87b6485498cc_ab710349-9291-4eaa-82b6-2ce24fda0111
ALL	a14e7e3d-0593-4d69-b17b-e79dfb065a0f_194d1776-3d8c-442b-a3ea-207ee37bacb3
ALL	7893162b-3d19-4c54-86ee-aa4884d84e8a_85a71635-6bce-414e-b7f9-c329b163ef9f
ALL	842aed9a-ef31-404a-b93a-fb8f5faa0467_f8b73148-fac3-4188-ad90-d8a6df27711d
ALL	41dc8345-7968-42b2-af20-8501b9d2223d_2ea40f1b-2646-4f2c-95f7-7bee8dce52c4
ALL	45319218-5bae-486a-a4aa-580ff5f0e931_6da598f9-8d61-4c4b-b457-0460b78cbbf8
ALL	5d3af3d2-f86b-4fc5-a56e-381f82b84cd0_90369671-2190-4dba-8bab-248ec6cd8fd9
ALL	5a1bb598-9a38-452a-9599-365501038a88_680396b1-a19e-4acd-bef8-e1671b80aa31
ALL	a7e04cc7-3f4c-4986-a336-8083e5653754_c6599062-308e-4157-ae34-d2560a7d5005
ALL	bed56886-f4fe-4917-b32a-18b3d3f47c24_ea61d0e8-c051-4357-8fe9-2d9f421f09d9
ALL	5a800052-150a-4273-9d5d-0ce48be4fd8a_acd88b79-9966-49e6-a1fa-c3cd9f27a691
ALL	002997ef-3b93-443a-80a3-bae63e129d99_a16194b7-162f-4282-a552-1fa1915ea589
ALL	a189a276-126a-4357-8aea-9ac6a791a1c5_984b2c5a-da1e-417f-9f91-eeacb216c970
ALL	2bf07767-58bd-4eb8-a0ff-434a9fdf5c8e_0d83af97-00e7-4597-9005-2ca4ad183962
ALL	e586a2b3-1132-45db-9283-dc318653a09f_990dffb5-482a-49ea-ae3a-8f37d7fc0064
ALL	9cd3fc34-5380-4318-87fa-ccff0dbea879_5fcf7a29-ebdf-4220-ac1b-20e73a3aa768
ALL	f05204c8-8301-4117-b826-b5fa194d28d2_956bbef7-737e-4ccb-83a1-a54d43c780fc
ALL	0f6ed829-a59b-48b7-a2ca-3aa9db40e4c2_4c882f6b-fd94-43b7-a6e0-2ef467da9884
ALL	1d8f72b7-8596-40e8-afdf-244dd897758c_2b15a265-4cd8-4b0b-a89a-0958db97a664
ALL	5ac66414-2c9e-45d0-837a-f620898a86e0_56665bde-3dad-4734-8d01-6e7bfe3ff35b
ALL	a7cc9298-d6f1-48ef-a93a-9c75fc0cb800_8328302c-cff7-46da-9b14-9c55f6ee531c
ALL	fed3a891-21be-4196-b9ef-0bf7c8f976aa_86bddedb-0034-4a61-af7e-f577454c9646
ALL	90b93fd6-b94d-4a98-ad7d-dba3428cbb25_d34d4f9a-8898-49e5-b4cf-84f184045a2d
ALL	2a5f4696-6e02-4fe9-b66d-8c2ae93b7c2f_59205671-d3d4-40b2-85c1-d9eabfca089d
ALL	2b8c960a-3e9a-49bf-8329-7d322da90326_4532e659-8c75-4100-ac75-2bdfa7508e86
ALL	a0e467f8-79c1-499e-b881-669b4bd55b8c_d6e315fd-c662-494c-98de-02c87b833473
ALL	2a3e4dbb-aaff-4b14-bbed-f2d7cf0f8fa3_724e1354-8ce6-4ee3-8971-2e411e2c7f78
ALL	0c12ea89-eeb4-4865-91eb-10cf75884c21_dd87d6fa-b756-4c73-bf7e-ff325d364f30
ALL	e17e273d-6f53-4419-9f0c-1e4e667c5257_5dfff1ad-3046-4e43-8304-a8579a9f203b
ALL	14f380df-eda0-4593-b00f-43abc87e22d4_329bc903-4958-4f83-a767-27df700c9d00
ALL	0fc347ae-7ad9-4987-887a-d37fe871d6c2_0729326e-9b85-44f5-8134-28cb10805bf4
ALL	f45e5bb1-c07d-4869-8acd-03036629e83d_9b737ee2-0ac2-44f4-a47c-8cfd921763af
ALL	bfb67ae4-dcfe-4002-8f5a-35dbec269889_8b3032b9-1cd9-4921-ad71-5d860fbc7c23
ALL	d5de71c5-b810-426d-a1f9-7f7ff07b775f_38028211-10d1-4884-aaf3-b39bee67df5e
ALL	de6d4267-c1cb-4761-a539-5f83368735af_04fdbb6c-4bd2-4a76-8bb6-f2f4e1864643
