membership:pair_set_id	pair
ALL	5049aeb6-44d3-4e4a-ad30-5dc99c903039_91c1b0a8-0bac-4961-baf1-ce6d85079da1
ALL	a0d03ed1-358a-45ce-a26a-f16d6ffa6050_fe749c7f-aca1-407f-a0cd-330dbae5658e
ALL	86158696-60a3-45b7-8351-d800f57ef23b_5fca30b8-1c68-4449-8070-ce5127cb0bfa
ALL	076808f3-1a00-4c82-bfa3-91a325f1e73c_cce56f7e-8c2f-4598-9561-767de08d86a8
ALL	46fb1711-e385-49a4-bf15-7990123cbe6b_aa261e5b-fa4a-4f2c-a72f-edaf321176ab
ALL	c255e546-c53c-4225-9721-f5050c45e1b8_801a4b59-5adb-45a1-a590-fa406da4d1a4
ALL	4ea1a466-beb0-476e-8ae7-29c1f09ff7f6_88022482-2a32-4020-aab7-5b64e4db3d66
ALL	9144c7fc-9c78-4b99-814f-4059a11ec33b_19044212-841c-4b6d-8c4f-03cee7ddead7
ALL	e86137c5-37af-4a47-8f29-5a947e013536_456cc2df-f9a7-4f65-8450-a79ed69fa27f
ALL	5f6cb74f-1d92-4ea4-92e1-ed23f83649fe_e59f6005-f309-4a7c-94fb-3f454e72d71f
ALL	f793e6b4-c9b9-45b5-8ebb-d151dbc7508e_0f9ca8b2-bb97-4ab7-b663-a5f28a1792af
ALL	133c13de-6c6b-45e2-a611-a5c5a4aebaa6_16f6c3fc-3001-4fc4-81a5-9d24dfbcc087
ALL	e29a1283-3e22-41f6-bc76-bfb244a044ae_6a4c960d-24e4-4639-9894-d15988309910
ALL	afc23299-5975-4ed8-b9f1-7b8fef14384b_9a956a8b-ef06-4494-b94c-44e61ba077c7
ALL	9b637a29-ee08-4ab2-8160-7584c170f87b_ae203a80-3207-41ee-91b1-489c75b66ab6
ALL	2ec2a1ce-591e-4e42-8f1a-7dea0b737cf2_92130bf1-9285-487d-8aed-62caba35f729
ALL	61715dc9-a28b-46a4-94a9-9a2b1b379831_89e95871-dfd0-46d6-a703-9029402bafa8
ALL	72930683-b2dc-4cd8-8a0b-0cf57c77b1a9_6da8a7a4-494e-49ef-b190-50a0a417268c
ALL	8824fcd3-242a-47a9-933e-632d5531bd6c_ef12679a-5b24-4c00-9745-aeb813740587
ALL	390070d8-ef9b-46fe-93ee-9cf01a642a92_51992867-495a-41a3-b708-311f08b6981f
ALL	3b556594-eff5-4a2a-9cbf-3f81456069f8_937fe0b6-9d7f-429a-8082-5ef33543d44f
ALL	73ee34e8-422d-4ab1-b0f0-da8a5a2dd9ab_d19b4ee7-cba4-491b-8764-99ac49304ad5
ALL	81f1e9f6-541f-43df-93cf-c11a569bac93_cbb4d259-1af3-4f91-b61e-836f4ed71c70
ALL	8aca008c-f55a-420a-82c7-acd2cca77d85_ced59ee0-9a95-4e2d-ac39-22ef6f80ebf7
ALL	475f161c-2f7f-43a2-b187-de6038752f39_0c7a7506-169c-471d-8148-f81d48ba20a7
ALL	f235afbb-dc2a-41dd-b373-77c0aacefb37_7a567e2e-3a9b-4631-8dcb-94811af1f5e8
ALL	573ce44a-ee08-4f10-8b97-35cd0454ddc7_e28904d6-cd25-4ff6-a985-1d0682452e71
ALL	2e058edb-ab27-4016-9240-1dc9e103894b_09260d57-8a92-499d-97d9-d8cb71b224e2
ALL	87ffeaea-93d7-4c88-85b9-b1b29b7f8e1d_99b42050-aa0d-4ed6-9b49-5393f5277c82
ALL	1a8e2409-ca0b-4b53-8d28-df63f7942722_f2e3951a-90b3-4079-a021-3988ec92cd25
ALL	a7a71b11-5e34-49a4-8d54-be27d9c8daf0_12b34821-908b-46a3-85ae-e8a5c3045566
ALL	cb16e564-e613-4f02-9f74-e807a51dd512_cc5e982f-01b4-431e-b6c5-ea1622069647
ALL	c3ca213a-1389-4e6b-8fbf-63479be7402a_a1fcb039-9fd7-4582-b99a-e4d302cbc6f6
ALL	c1a72c32-2588-4d38-a634-ed1868dc9969_4310a086-190c-40e1-ad97-0f5b6b3b29a6
ALL	08003f93-05c8-40ed-95dc-16abf83b1e43_9a448634-750b-4522-81a2-68c322e6b84c
ALL	e7390b8c-fc12-43f1-8c94-f5daf0d186f7_e3329ab2-71a8-4a84-87d0-65ff9bb4ee2a
ALL	5ab15b14-d6c2-4900-add7-24e3b8df2680_9fd488ec-8e09-4197-a51e-2135f434f232
ALL	a111b68c-b45c-4cfc-9733-9dd140e81419_3c7df581-242c-4883-941a-b08eafac3784
ALL	a0322f55-0853-4b63-9788-4e750557bb58_d7b63d7c-1c6d-446f-88f5-0364d089c468
ALL	14eb006d-42b2-4765-9dc2-b96f9aa03c10_86e7e848-f376-46b7-a776-83bf6dfb6ef2
ALL	39637cb0-c222-48ce-8a6b-86cfab6a6ef4_b1d66dd3-1c24-4eaa-baef-346ae7c67b89
ALL	de7f6b99-ea71-4c44-b412-ab20b1616c40_4a1901b7-6105-4341-b469-df4a1218608a
ALL	1e191eed-2238-450e-a384-26df9c569fd0_0d2f53a8-9261-4e57-a0cd-5cd5e6376743
ALL	1ba1877d-e32e-4e04-9701-d13d07fae459_ed72be38-13a9-4041-9622-20ddecc79c5c
ALL	9e071449-9392-4384-b38f-26722d2d5c51_9d851bd7-7241-494f-85ff-7a7c6faba09b
ALL	ec9fc2bb-859d-4a11-8a12-e109075eff8c_955a8753-b2cc-4378-bbc0-4100f76e3609
ALL	a545fb9a-c386-4a80-9a25-660dc4f62904_76b67785-5572-4167-b089-d142bd5a5ea7
ALL	ec60d3a7-14ff-4171-9d46-a2b6f898c5f1_714540a7-9c0c-4a39-8292-21e8fab6771f
ALL	14c176f9-9197-4486-9f98-fe82991c6dc6_77688eac-386a-4a31-a579-be9e5376f880
ALL	fb550b01-76b0-4465-bcf5-b72a7e9a378c_1ab35d0a-425d-4fce-8a5e-258755b8c79f
ALL	4425892c-8c35-4f6c-b531-1ec510ad19d2_ce20a5ff-88f9-43b4-8c8a-62fb9cfff9e6
ALL	50560725-c72d-4bab-b602-5e50e6bececd_115b479f-fbc2-4e59-bfb9-f1d9cdf849cb
ALL	57733d46-9726-4cc0-825f-77185bc7bea9_7051c757-e483-46b8-a209-c0444e1f60af
ALL	d95e1d88-5b39-4a57-a445-abfeb765eaf7_ae203a80-3207-41ee-91b1-489c75b66ab6
ALL	2498a44f-8b61-4cd9-80c0-35972760f361_13168afd-69ac-438c-aa08-e6601785618a
ALL	63f1b937-80c9-4399-8544-550b15e9d035_5fa302b6-603b-4a09-aeb3-1bb29981c4c1
ALL	b083e3cb-0af1-44ea-854d-85fd99b75ad5_241b4f4d-8ad5-4e7f-92ea-e00956721443
ALL	7c12327f-05c5-4721-8031-93a318835580_a066f082-58be-478d-abce-5f971652fcae
